name,X,Y
Intel Core i5-12400F,839,12035
Intel Core i5-13600KF,1589,23534
Intel core i7-13700K,2249,30176
Intel core i3-12100F,519,8443
Intel Core i5-12600K,1299,17580
Intel Core i5-13400F,1099,15755
Intel Core i7-13700KF,2129,30230
Intel Core i5-13600K,1699,20145
Intel Core i5-12600KF,1249,17214
Intel Core i3-13100F,619,8843
Intel Core i5-13500,1319,20583
Intel Core i9-13900KF,2999,38602
Intel Core i7-12700K,1799,22708
Intel Core i7-13700F,1919,27784
Intel Core i9-13900K,3148,38140
Intel Core i5-12400,999,12034
Intel Core i5-13400,1219,15863
Intel Core i9-13900KS,3689,39833
Intel Core i7-13700,2069,27784
Intel Core i7-12700,1689,12700
Intel Core i9-12900KF,2300,27663
Intel Core i9-13900,3039,37927
Intel Core i9-13900F,2799,37793
Intel Core i9-12900KS,2499,29634
Intel Core i5-12600,1339,13621
Intel Core i9-12900F,2499,27663
Intel Core i5-12500,1279,12601
Intel Core i9-12900,2799,29435
