name,X,Y
Samsung 1TB M.2 PCIe NVMe 980,3500,319
Lexar 1TB M.2 PCIe NVMe NM620,3300,228
KIOXIA 1TB M.2 PCIe NVMe EXCERIA G2,2100,235
Kingston 1TB M.2 PCIe Gen4 NVMe KC3000,7000,369
Samsung 1TB M.2 PCIe Gen4 NVMe 980 PRO,7000,459
WD 1TB M.2 PCIe NVMe Blue SN570,3500,269
Lexar 1TB M.2 PCIe Gen4 NVMe NM800 Pro,7500,365
Kingston 1TB M.2 PCIe Gen4 NVMe NV2,3500,235
Lexar 1TB M.2 PCIe Gen4 NVMe NM710,5000,299
ADATA 1TB M.2 PCIe Gen4 NVMe LEGEND 960,7400,369
Crucial 1TB M.2 PCIe NVMe P3,3500,239
Samsung 1TB M.2 PCIe NVMe 970 EVO Plus,3500,429
WD 1TB M.2 PCIe Gen4 NVMe Black SN850X,7300,479
ADATA 1TB M.2 PCIe NVMe Legend 710,2400,219
Lexar 1TB M.2 PCIe Gen4 NVMe NM800 Pro Heatsink,7500,385
Samsung 1TB M.2 PCIe Gen4 NVMe 990 PRO,7450,699
WD 1TB M.2 PCIe NVMe Green SN350,3200,229
Kingston 1TB M.2 PCIe Gen4 NVMe Fury Renegade,7300,419
Crucial 1TB M.2 PCIe Gen4 NVMe P3 Plus,5000,299
WD 1TB M.2 PCIe Gen4 NVMe Black SN770,4900,369
Lexar 1TB M.2 PCIe Gen4 NVMe NM760,5300,299
ADATA 1TB M.2 PCIe NVMe XPG SX8200 Pro,3500,319
GOODRAM 1TB M.2 PCIe NVMe PX500 G2,2050,239
ADATA 1TB M.2 PCIe NVMe XPG GAMMIX S11 Pro,3350,299
WD 1TB M.2 PCIe Gen4 NVMe Black SN850X Heatsink,7300,579
Crucial 1TB M.2 PCIe Gen4 NVMe P5 Plus,6600,419
Solidigm 1TB M.2 PCIe Gen4 NVMe P44 Pro,7000,589
ADATA 1TB M.2 PCIe NVMe XPG SPECTRIX S40G RGB,3500,319
ADATA 1TB M.2 PCIe Gen4 NVMe GAMMIX S70 Blade,7400,399
ADATA 1TB M.2 PCIe NVMe XPG SX6000 Pro,2100,299
Corsair 1TB M.2 PCIe Gen4 NVMe MP600 Pro NH,7000,469
Corsair 1TB M.2 PCIe Gen4 NVMe MP600 Pro LPX,7100,499
Corsair 1TB M.2 PCIe Gen4 NVMe MP600 Pro XT,7100,499
Seagate 1TB M.2 PCIe Gen4 NVMe FireCuda 530,7300,539
MSI 1TB M.2 PCIe Gen4 NVMe Spatium M480,7000,499
MSI 1TB M.2 PCIe NVMe Spatium M371,2350,255
MSI 1TB M.2 PCIe NVMe Spatium M390,3300,379
MSI 1TB M.2 PCIe Gen4 NVMe Spatium M461,5000,319
PNY 1TB M.2 PCIe NVMe CS1030,2100,259
Kingston 1TB M.2 PCIe Gen4 NVMe Fury Renegade Heatsink,7300,479
