name,X,Y
Kingston FURY 6000,6000,689
Kingston FURY 6400,6400,889
Kingston FURY 5600,5600,699
Corsair Vengeance 6000,6000,639
Kingston FURY 5200,5200,649
Kingston FURY 6400 RGB,6400,929
G.skill trident 6000,6000,869
gigabyte 5200,5200,619
ADATA Lancer 6000,6000,629
Patriot Vipe Venom 6200,6200,719
Corsair Dominator 5600,5600,979
G.Skill Trident Z5 6000,6000,899
Adata lancer 5200,5200,589
Kingston Fury Black Beast 4800,4800,689
Corsair Vengeance  7200,7200,1729
G.Skill Trident 5600,5600,849
G.Skill Trident 5600 RGB,5600,929
Corsair Vengeance 5200,5200,629
Patriot Vipe Venom 7000,7000,1079
Patriot Vipe Venom 7200,7200,1179
Patriot Vipe Venom 7400,7400,1259
Corsair Vengeance  7000,7000,1769
Corsair Vengeance AMD Exp 5200,5200,919
Corsair Vengeance AMD Exp 5600,5600,1069
Corsair Vengeance AMD Exp 6000,6000,1349
Corsair Dominator Platinum 5200,5200,1219
Corsair Dominator Platinum  6000,6000,1799
Crucial CL 4800,4800,539
Crucial  5400,5400,742
