nazwa,wynik,cena
Gigabyte B660M DS3H DDR4,492,499
Gigabyte Z690 GAMING X DDR4,687,969
Gigabyte B760 GAMING X DDR4,369,779
ASUS PRIME B660M-A WIFI DDR4,309,599
Gigabyte Z790 AORUS ELITE AX,519,1499
Gigabyte B760M GAMING X DDR4,389,389
Gigabyte Z790 GAMING X AX,672,1349
Gigabyte B660 DS3H DDR4,637,599
Gigabyte B660M DS3H AX DDR4,582,579
MSI PRO Z690‑A WIFI DDR4,596,999
Gigabyte B760M DS3H DDR4,312,312
ASUS TUF GAMING B660M‑PLUS,504,749
ASUS TUF GAMING B760‑PLUS,524,899
Gigabyte Z790 D DDR4,684,979
Gigabyte B760M AORUS ELITE AX,449,929
Gigabyte Z790 GAMING X,684,1249
Gigabyte B660M GAMING DDR4,539,519
ASUS PRIME Z790‑P WIFI,673,1399
MSI PRO Z790‑P WIFI,676,1199
MSI MAG Z790 TOMAHAWK WIFI,676,1699
MSI MAG B660 TOMAHAWK WIFI DDR4,595,979
MSI MAG B760M MORTAR WIFI,585,969
MSI MPG Z790 EDGE WIFI,870,2219
Gigabyte Z690 AORUS ELITE DDR4,649,1119
Gigabyte Z690 UD DDR4,650,919
Gigabyte B760 DS3H DDR4,603,659
ASRock B760M PG Riptide,411,689
MSI PRO B760M‑G DDR4,179,629
MSI MAG B760 TOMAHAWK WIFI DDR4,454,1029
Gigabyte B760 GAMING X AX DDR4,509,889
ASRock Z790 Steel Legend WIFI,646,1479
ASRock Z790 Taichi Carrara,725,2699
ASRock Z790 Pro RS,628,1149
ASRock Z790 PG Riptide,642,1159
ASUS ROG STRIX Z790‑E GAMING WIFI,702,2999
MSI PRO B660M‑B DDR4,269,469
Gigabyte B760 A MASTER DDR4,135,1199
